"Supplementary Table S12. Read-level sensitivity of the best model (Embed + LSTM + Attention) on fixed-length reads simulated based on error profiles of different sequencing platforms using 3,269 MAGs excluded from training",,,,,
MAG_ID_ENA,75bp (GenomeAnalyzer II),100bp (HiSeq 2000),125bp (HiSeq 2500),150bp (HiSeq 2500),250bp (MiSeq v3)
MAG-GUT1677,0.028,0.398,0.764,0.832,0.836
MAG-GUT16845,0.061,0.322,0.581,0.675,0.656
MAG-GUT16851,0.021,0.163,0.313,0.357,0.400
MAG-GUT16881,0.017,0.193,0.426,0.520,0.615
MAG-GUT1694,0.010,0.152,0.394,0.512,0.618
MAG-GUT16984,0.010,0.162,0.429,0.579,0.713
MAG-GUT17013,0.029,0.224,0.442,0.512,0.494
MAG-GUT17016,0.040,0.238,0.448,0.515,0.447
MAG-GUT17028,0.025,0.303,0.640,0.716,0.690
MAG-GUT17049,0.017,0.224,0.521,0.627,0.609
MAG-GUT1707,0.010,0.185,0.473,0.582,0.592
MAG-GUT17170,0.004,0.109,0.304,0.404,0.598
MAG-GUT17212,0.008,0.150,0.425,0.557,0.660
MAG-GUT17247,0.060,0.447,0.731,0.783,0.784
MAG-GUT17254,0.101,0.553,0.827,0.876,0.856
MAG-GUT17255,0.032,0.384,0.759,0.826,0.824
MAG-GUT17271,0.031,0.329,0.612,0.664,0.526
MAG-GUT17288,0.021,0.220,0.451,0.505,0.390
MAG-GUT1728,0.017,0.229,0.538,0.646,0.611
MAG-GUT17299,0.015,0.224,0.516,0.616,0.599
MAG-GUT17314,0.025,0.276,0.608,0.727,0.744
MAG-GUT17379,0.013,0.209,0.495,0.594,0.576
MAG-GUT17399,0.008,0.096,0.240,0.318,0.375
MAG-GUT17401,0.106,0.562,0.837,0.885,0.870
MAG-GUT1743,0.029,0.156,0.307,0.360,0.358
MAG-GUT17473,0.030,0.391,0.770,0.838,0.832
MAG-GUT17488,0.053,0.366,0.640,0.707,0.650
MAG-GUT17515,0.027,0.378,0.741,0.810,0.808
MAG-GUT17598,0.068,0.510,0.810,0.855,0.852
MAG-GUT1761,0.013,0.141,0.379,0.519,0.608
MAG-GUT1763,0.030,0.341,0.674,0.747,0.825
MAG-GUT17664,0.007,0.122,0.318,0.425,0.627
MAG-GUT17671,0.005,0.126,0.330,0.433,0.625
MAG-GUT17697,0.013,0.124,0.298,0.386,0.486
MAG-GUT17705,0.019,0.167,0.325,0.363,0.397
MAG-GUT17713,0.015,0.221,0.527,0.613,0.604
MAG-GUT17733,0.050,0.291,0.513,0.599,0.584
MAG-GUT17776,0.029,0.348,0.723,0.825,0.833
MAG-GUT17782,0.023,0.218,0.441,0.487,0.379
MAG-GUT17793,0.018,0.210,0.458,0.553,0.613
